lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2
lab2,head_only,lab2_active_1_3_7,"Lab2 active set [1, 3, 7]",3,10,humidity,0.75122311643899,0.5359438772384937,0.9526180779807126
lab2,head_only,lab2_active_1_3_7,"Lab2 active set [1, 3, 7]",3,10,temperature,0.2898327098386618,0.20181270172962776,0.9374311148844685
lab2,head_only,lab2_active_1_3_7_8_13,"Lab2 active set [1, 3, 7, 8, 13]",5,8,humidity,0.7338605044379047,0.531566878924003,0.954360259376619
lab2,head_only,lab2_active_1_3_7_8_13,"Lab2 active set [1, 3, 7, 8, 13]",5,8,temperature,0.31179197896211047,0.2309453716644874,0.9274469507076227
lab2,head_only,lab2_active_1_3_8,"Lab2 active set [1, 3, 8]",3,10,humidity,0.7030401811066708,0.49321980201281035,0.9589920146538174
lab2,head_only,lab2_active_1_3_8,"Lab2 active set [1, 3, 8]",3,10,temperature,0.2778902368168624,0.20099169818254617,0.9429214055103335
lab2,head_only,lab2_active_1_3_9,"Lab2 active set [1, 3, 9]",3,10,humidity,0.7705892261867319,0.5891671089025644,0.951682764737044
lab2,head_only,lab2_active_1_3_9,"Lab2 active set [1, 3, 9]",3,10,temperature,0.27180579627691936,0.19338680116029885,0.9449251337007923
lab2,head_only,lab2_active_1_3_9_10_13,"Lab2 active set [1, 3, 9, 10, 13]",5,8,humidity,0.6878234883669003,0.5202084390016702,0.9597268104994318
lab2,head_only,lab2_active_1_3_9_10_13,"Lab2 active set [1, 3, 9, 10, 13]",5,8,temperature,0.28825399368899557,0.22061734016125017,0.9380734369478496
lab2,head_only,lab2_active_1_4,"Lab2 active set [1, 4]",2,11,humidity,0.7850710415866298,0.5580749328319843,0.9498620543089551
lab2,head_only,lab2_active_1_4,"Lab2 active set [1, 4]",2,11,temperature,0.3203989022669865,0.2032983142596025,0.9222444475263235
lab2,head_only,lab2_active_1_4_10,"Lab2 active set [1, 4, 10]",3,10,humidity,0.7018856610504878,0.5319390296936035,0.9559310561134952
lab2,head_only,lab2_active_1_4_10,"Lab2 active set [1, 4, 10]",3,10,temperature,0.2648143720822232,0.17154119106439444,0.9464412711564438
lab2,head_only,lab2_active_1_4_11,"Lab2 active set [1, 4, 11]",3,10,humidity,0.677855673174004,0.48569589853286743,0.9638842364349018
lab2,head_only,lab2_active_1_4_11,"Lab2 active set [1, 4, 11]",3,10,temperature,0.27742426558429645,0.17712311446666718,0.9425607103468086
lab2,head_only,lab2_active_1_4_12,"Lab2 active set [1, 4, 12]",3,10,humidity,0.7828098511153802,0.6113464946930225,0.9509479511777607
lab2,head_only,lab2_active_1_4_12,"Lab2 active set [1, 4, 12]",3,10,temperature,0.2831887929333571,0.2010312699354612,0.9402099758274929
lab2,head_only,lab2_active_1_4_13,"Lab2 active set [1, 4, 13]",3,10,humidity,0.7636030888121125,0.5419821876745957,0.951432121100694
lab2,head_only,lab2_active_1_4_13,"Lab2 active set [1, 4, 13]",3,10,temperature,0.3079133534395308,0.19507925785504854,0.9288445212037216
lab2,head_only,lab2_active_1_4_5,"Lab2 active set [1, 4, 5]",3,10,humidity,0.8037889631716385,0.5610350805979508,0.947664194498267
lab2,head_only,lab2_active_1_4_5,"Lab2 active set [1, 4, 5]",3,10,temperature,0.25961508581028214,0.16563560985601866,0.9481686721734661
lab2,head_only,lab2_active_1_4_5_6_11,"Lab2 active set [1, 4, 5, 6, 11]",5,8,humidity,0.7450275336502782,0.546616927935527,0.9565292231743628
lab2,head_only,lab2_active_1_4_5_6_11,"Lab2 active set [1, 4, 5, 6, 11]",5,8,temperature,0.24784318464178173,0.16695083333895758,0.953813461743667
lab2,head_only,lab2_active_1_4_6,"Lab2 active set [1, 4, 6]",3,10,humidity,0.8649932922067229,0.5671365857124329,0.9423017345765274
lab2,head_only,lab2_active_1_4_6,"Lab2 active set [1, 4, 6]",3,10,temperature,0.33785013129965596,0.21504262892099527,0.9135930906650613
lab2,head_only,lab2_active_1_4_7,"Lab2 active set [1, 4, 7]",3,10,humidity,0.8789621666561082,0.7133816205538236,0.9379227633317968
lab2,head_only,lab2_active_1_4_7,"Lab2 active set [1, 4, 7]",3,10,temperature,0.300389672180392,0.21542663184496072,0.9319823615721945
lab2,head_only,lab2_active_1_4_8,"Lab2 active set [1, 4, 8]",3,10,humidity,0.7358849653504514,0.5250284832257491,0.9541101280320446
lab2,head_only,lab2_active_1_4_8,"Lab2 active set [1, 4, 8]",3,10,temperature,0.2648105703540541,0.17789745789307815,0.9475699052408603
lab2,head_only,lab2_active_1_4_9,"Lab2 active set [1, 4, 9]",3,10,humidity,0.8758565415382377,0.6757940902159765,0.9398287905705994
lab2,head_only,lab2_active_1_4_9,"Lab2 active set [1, 4, 9]",3,10,temperature,0.2745359098400369,0.18222490411538345,0.9428937363891292
lab2,head_only,lab2_active_1_5,"Lab2 active set [1, 5]",2,11,humidity,0.8563874826962259,0.6023210997764881,0.9410462330219356
lab2,head_only,lab2_active_1_5,"Lab2 active set [1, 5]",2,11,temperature,0.2682865937219048,0.18922312156512186,0.9463863752958097
lab2,head_only,lab2_active_1_5_10,"Lab2 active set [1, 5, 10]",3,10,humidity,0.8916901969146521,0.6145194081159738,0.9355857194573474
