transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_score,source_r2_temperature,source_r2_humidity,active_total_nominal
head_only,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,humidity,1.1188234441982439,0.8136850824722877,0.8977456457737232,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
head_only,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,temperature,0.31870837552676434,0.22222463098856118,0.9409863300645436,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
head_only,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,humidity,1.20693611411326,0.8531821209650773,0.884392125419831,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
head_only,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,temperature,0.32559074068200466,0.22515168270239463,0.9373549071345408,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
head_only,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,humidity,1.1181197953594397,0.8322422045927781,0.897009624831488,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
head_only,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,temperature,0.32264250784072296,0.22144659436666048,0.9351454362444789,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
head_only,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,humidity,1.1357240005325637,0.8023645923687861,0.8925833742277067,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
head_only,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,temperature,0.3208026655376228,0.2210899557058628,0.9385801849540223,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
head_only,lab2_active_5_7,"Lab2 active set [5, 7]",11,humidity,1.2613471886904828,0.8403046818879935,0.8696930836211141,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
head_only,lab2_active_5_7,"Lab2 active set [5, 7]",11,temperature,0.33839844674682834,0.22772765732728517,0.9330976070759145,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
head_only,lab2_active_5_9,"Lab2 active set [5, 9]",11,humidity,1.2197150589130927,0.8510103615430685,0.8763267302988064,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
head_only,lab2_active_5_9,"Lab2 active set [5, 9]",11,temperature,0.32972352983263414,0.23042978919469392,0.9345777107030199,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
head_only,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,humidity,1.2247289974186468,0.8089334735503564,0.8812611189276185,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
head_only,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,temperature,0.3206367185428987,0.21127622861128587,0.9406292495814974,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
head_only,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,humidity,1.1328137425458438,0.8259010131542499,0.8958100394073215,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
head_only,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,temperature,0.33301042060121705,0.23278362934405988,0.9349426654819101,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
head_only,lab2_active_8_10,"Lab2 active set [8, 10]",11,humidity,1.2604460158298951,0.8375799151567312,0.8718450831091956,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
head_only,lab2_active_8_10,"Lab2 active set [8, 10]",11,temperature,0.3382293020975916,0.23984510623491728,0.9333923944250012,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
head_only,lab2_all13,Lab2 all 13 active,0,humidity,1.1266506336429116,0.7659462025532355,0.8986539905044845,13,,,,,13
head_only,lab2_all13,Lab2 all 13 active,0,temperature,0.31067454982048204,0.2092218089562196,0.9429733991138746,13,,,,,13
