transfer_mode,protocol_name,display_name,masked_total,active_total_nominal,sensor,variable,rmse,mae,r2,active_count,rank_within_k
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,5,humidity,0.3149889769593348,0.2455388754606247,0.9962133065021695,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,6,temperature,0.4552479210260926,0.3104645907878876,0.81755080577858,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,6,humidity,1.724964213345598,1.2896348237991333,0.9093346335543955,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,7,temperature,0.057219384755541475,0.04286212846636772,0.9925039599187906,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,7,humidity,0.3004853663459656,0.22617870569229126,0.9963749105286159,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,8,temperature,0.0942822240258221,0.07135570794343948,0.9821561428840242,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,8,humidity,0.3001724745750545,0.22435760498046875,0.9968420938835894,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,9,temperature,0.11410289842632565,0.09008963406085968,0.9804324943126658,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,9,humidity,0.4756225791147707,0.3691995441913605,0.9928267186996199,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,10,temperature,0.0931694013237458,0.07336398959159851,0.980833228867842,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,10,humidity,0.35586100723445,0.28460460901260376,0.9951354699389867,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,11,temperature,0.09237739454354651,0.07035806775093079,0.9818689312168555,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,11,humidity,0.3244685968337882,0.2573208212852478,0.9956380951208461,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,12,temperature,0.08608692086285873,0.06315220892429352,0.9844756957772414,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,12,humidity,0.36745469537435027,0.27352163195610046,0.9952933279622866,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,13,temperature,0.6165479412573798,0.23702146112918854,0.7020650035185692,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,13,humidity,1.6420609502550194,0.7174258232116699,0.8613568284515812,5,4.0
