lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,13,0,humidity,1.3883444699225809,1.0615322589874268,0.90695075010652,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,1,0,temperature,0.18433113344095886,0.12660232186317444,0.9123034825440968,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,1,0,humidity,0.6100886885082265,0.47742605209350586,0.9857982016898086,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,2,1,temperature,0.23784950884456976,0.1941383332014084,0.9219436142750503,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,2,1,humidity,1.2740894357258723,1.0242040157318115,0.9309667489367128,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,3,0,temperature,0.10030319696586573,0.07980283349752426,0.9812182701532212,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,3,0,humidity,0.5309354187294243,0.4035938084125519,0.9872737672083469,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,4,0,temperature,0.08876958664492651,0.07100251317024231,0.9745560167593564,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,4,0,humidity,0.45948527173875714,0.36648163199424744,0.9889595422649357,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,5,1,temperature,0.0691771233124903,0.05358286574482918,0.9869960011868183,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,5,1,humidity,0.46637293187022566,0.36983561515808105,0.9902393815936421,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,6,0,temperature,0.1813202360147202,0.13531319797039032,0.9684909983275773,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,6,0,humidity,0.6951787369894367,0.5261058211326599,0.9834741357513025,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,7,0,temperature,0.0676015193224449,0.05231130123138428,0.9877689978771174,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab1,lab1_reference,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,7,0,humidity,0.3546763380537783,0.2755659818649292,0.9938855157688932,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
