transfer_mode,protocol_name,display_name,active_count,masked_total,r2_humidity,r2_temperature,score
head_only,lab2_active_3_10_11,"Lab2 active set [3, 10, 11]",3,10,0.9576070170726282,0.9486528867060697,0.953129951889349
head_only,lab2_active_3_8_12,"Lab2 active set [3, 8, 12]",3,10,0.9587549398421784,0.9474128943353841,0.9530839170887813
head_only,lab2_active_1_5_13,"Lab2 active set [1, 5, 13]",3,10,0.9618307623334125,0.9439870315569345,0.9529088969451736
head_only,lab2_active_10_11_13,"Lab2 active set [10, 11, 13]",3,10,0.960303402450613,0.9453536215727856,0.9528285120116993
head_only,lab2_active_1_7_11,"Lab2 active set [1, 7, 11]",3,10,0.9577851452465483,0.9478073713948976,0.952796258320723
head_only,lab2_active_3_8_9,"Lab2 active set [3, 8, 9]",3,10,0.9608853958578669,0.9443515160788372,0.952618455968352
head_only,lab2_active_1_8_12,"Lab2 active set [1, 8, 12]",3,10,0.9588373546743499,0.9463797696767734,0.9526085621755617
head_only,lab2_active_3_10_12,"Lab2 active set [3, 10, 12]",3,10,0.9605619129310038,0.9445007286018204,0.9525313207664121
head_only,lab2_active_1_6_13,"Lab2 active set [1, 6, 13]",3,10,0.9527858525955046,0.9521035930752283,0.9524447228353665
head_only,lab2_active_1_6_9,"Lab2 active set [1, 6, 9]",3,10,0.9579900002446707,0.9467987668875553,0.9523943835661131
head_only,lab2_active_1_8_11,"Lab2 active set [1, 8, 11]",3,10,0.9559880645862007,0.9487281166207603,0.9523580906034805
head_only,lab2_active_1_2_7,"Lab2 active set [1, 2, 7]",3,10,0.9545703776998902,0.9500635188273923,0.9523169482636412
head_only,lab2_active_3_8_11,"Lab2 active set [3, 8, 11]",3,10,0.95841624643822,0.9460152375893739,0.9522157420137969
head_only,lab2_active_5_9_12,"Lab2 active set [5, 9, 12]",3,10,0.953061436220543,0.9513643320386678,0.9522128841296054
head_only,lab2_active_3_4_5,"Lab2 active set [3, 4, 5]",3,10,0.9605952087228542,0.9438199426231215,0.9522075756729879
head_only,lab2_active_3_6_13,"Lab2 active set [3, 6, 13]",3,10,0.959223632762271,0.9451502170943348,0.9521869249283028
head_only,lab2_active_3_5_11,"Lab2 active set [3, 5, 11]",3,10,0.9558434531025422,0.948243613594933,0.9520435333487376
head_only,lab2_active_1_2_6,"Lab2 active set [1, 2, 6]",3,10,0.9630649792995476,0.9406431091557745,0.9518540442276611
head_only,lab2_active_1_3_6,"Lab2 active set [1, 3, 6]",3,10,0.9555788207452799,0.9480246160415006,0.9518017183933902
head_only,lab2_active_6_9_12,"Lab2 active set [6, 9, 12]",3,10,0.9569406998131416,0.9465758959852614,0.9517582978992014
head_only,lab2_active_3_9_10,"Lab2 active set [3, 9, 10]",3,10,0.9591314373907883,0.9443655759482211,0.9517485066695047
head_only,lab2_active_1_8_9,"Lab2 active set [1, 8, 9]",3,10,0.9553331787817826,0.9480846533148697,0.9517089160483261
head_only,lab2_active_2_4_9,"Lab2 active set [2, 4, 9]",3,10,0.9641259532944841,0.9391799513578835,0.9516529523261839
head_only,lab2_active_3_6_10,"Lab2 active set [3, 6, 10]",3,10,0.9594759539725186,0.9436217526255221,0.9515488532990204
head_only,lab2_active_7_11_12,"Lab2 active set [7, 11, 12]",3,10,0.9589839778222415,0.9440340135465661,0.9515089956844038
head_only,lab2_active_4_5_11,"Lab2 active set [4, 5, 11]",3,10,0.9608665816355381,0.9420482566101579,0.951457419122848
head_only,lab2_active_1_2_10,"Lab2 active set [1, 2, 10]",3,10,0.9490010108511291,0.953846354082134,0.9514236824666316
head_only,lab2_active_4_5_10,"Lab2 active set [4, 5, 10]",3,10,0.9606553572292372,0.9417973815376178,0.9512263693834275
head_only,lab2_active_1_4_10,"Lab2 active set [1, 4, 10]",3,10,0.9560104908680122,0.9462851014377084,0.9511477961528603
head_only,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",3,10,0.9604458009586995,0.9418271577519686,0.9511364793553341
head_only,lab2_active_5_6_7,"Lab2 active set [5, 6, 7]",3,10,0.9598053678802867,0.9423792270138176,0.9510922974470521
head_only,lab2_active_1_10_12,"Lab2 active set [1, 10, 12]",3,10,0.9549432850399343,0.9471931809446341,0.9510682329922842
head_only,lab2_active_7_8_12,"Lab2 active set [7, 8, 12]",3,10,0.9595532158668443,0.9425571189268511,0.9510551673968477
head_only,lab2_active_1_6_8,"Lab2 active set [1, 6, 8]",3,10,0.9507935859504844,0.9511837855457723,0.9509886857481283
