transfer_mode,protocol_name,display_name,masked_total,r2_humidity,r2_temperature,active_count,score
head_only,lab2_active_6_7_12,"Lab2 active set [6, 7, 12]",10,0.8742925209331349,0.9290431292235047,3,0.9016678250783199
head_only,lab2_active_4_7_9,"Lab2 active set [4, 7, 9]",10,0.8776584015655964,0.9255476557184867,3,0.9016030286420416
head_only,lab2_active_3_4_7,"Lab2 active set [3, 4, 7]",10,0.8857143169534372,0.9174164228551559,3,0.9015653699042965
head_only,lab2_active_2_4_8,"Lab2 active set [2, 4, 8]",10,0.8762330281981903,0.9268562641125359,3,0.9015446461553631
head_only,lab2_active_1_9_11,"Lab2 active set [1, 9, 11]",10,0.8748978551935227,0.9281534843899722,3,0.9015256697917475
head_only,lab2_active_6_9_13,"Lab2 active set [6, 9, 13]",10,0.88056514519009,0.9224754361744801,3,0.901520290682285
head_only,lab2_active_1_2_8,"Lab2 active set [1, 2, 8]",10,0.8766303121016981,0.9262241525339576,3,0.9014272323178278
head_only,lab2_active_1_7_8,"Lab2 active set [1, 7, 8]",10,0.8751328949430436,0.9275953927044764,3,0.9013641438237601
head_only,lab2_active_8_9_11,"Lab2 active set [8, 9, 11]",10,0.8725064009969378,0.9301110888166744,3,0.901308744906806
head_only,lab2_active_9_10_11,"Lab2 active set [9, 10, 11]",10,0.8749349984743807,0.9275065577624104,3,0.9012207781183956
head_only,lab2_active_5_9_11,"Lab2 active set [5, 9, 11]",10,0.8701058161436275,0.9322290856588022,3,0.9011674509012149
head_only,lab2_active_5_7_9,"Lab2 active set [5, 7, 9]",10,0.8718768886273094,0.9303102481335278,3,0.9010935683804187
head_only,lab2_active_2_7_12,"Lab2 active set [2, 7, 12]",10,0.8701961674594606,0.931924474614023,3,0.9010603210367418
head_only,lab2_active_4_9_11,"Lab2 active set [4, 9, 11]",10,0.8832507295349304,0.9188540320978048,3,0.9010523808163676
head_only,lab2_active_5_9_13,"Lab2 active set [5, 9, 13]",10,0.8755339276477392,0.9264470705614709,3,0.900990499104605
head_only,lab2_active_2_8_10,"Lab2 active set [2, 8, 10]",10,0.8680404747171822,0.9338991722465065,3,0.9009698234818444
head_only,lab2_active_2_4_12,"Lab2 active set [2, 4, 12]",10,0.8780312519211007,0.9237336194892768,3,0.9008824357051888
head_only,lab2_active_4_6_10,"Lab2 active set [4, 6, 10]",10,0.8789264349866404,0.9226348438502339,3,0.9007806394184371
head_only,lab2_active_1_6_8,"Lab2 active set [1, 6, 8]",10,0.8762197733459564,0.9252726002132511,3,0.9007461867796037
head_only,lab2_active_3_6_8,"Lab2 active set [3, 6, 8]",10,0.8687699408173859,0.9327210523560059,3,0.9007454965866959
head_only,lab2_active_2_7_9,"Lab2 active set [2, 7, 9]",10,0.8812288663850144,0.9202386438522839,3,0.9007337551186492
head_only,lab2_active_5_8_12,"Lab2 active set [5, 8, 12]",10,0.8686369229149586,0.9327056339724873,3,0.900671278443723
head_only,lab2_active_7_8_12,"Lab2 active set [7, 8, 12]",10,0.8717443262063596,0.9295777345442873,3,0.9006610303753234
head_only,lab2_active_4_5_7,"Lab2 active set [4, 5, 7]",10,0.884370601894775,0.916391980524187,3,0.9003812912094811
head_only,lab2_active_1_3_6,"Lab2 active set [1, 3, 6]",10,0.8774976115596248,0.9225200153816027,3,0.9000088134706137
head_only,lab2_active_3_7_11,"Lab2 active set [3, 7, 11]",10,0.8729041011816494,0.9271060633134509,3,0.9000050822475502
head_only,lab2_active_3_9_10,"Lab2 active set [3, 9, 10]",10,0.8781373943597243,0.9217281770268837,3,0.8999327856933039
head_only,lab2_active_6_8_11,"Lab2 active set [6, 8, 11]",10,0.8718646852034104,0.9278967379970472,3,0.8998807116002288
head_only,lab2_active_4_9_12,"Lab2 active set [4, 9, 12]",10,0.877196574064532,0.9223381695914152,3,0.8997673718279736
head_only,lab2_active_5_7_10,"Lab2 active set [5, 7, 10]",10,0.8663098643778813,0.9332138963244531,3,0.8997618803511671
head_only,lab2_active_3_4_9,"Lab2 active set [3, 4, 9]",10,0.8834186378374054,0.9157011940669714,3,0.8995599159521883
head_only,lab2_active_1_6_9,"Lab2 active set [1, 6, 9]",10,0.8768521555696854,0.922203846342205,3,0.8995280009559452
head_only,lab2_active_2_9_12,"Lab2 active set [2, 9, 12]",10,0.873628510139667,0.9251820934935784,3,0.8994053018166227
head_only,lab2_active_1_7_11,"Lab2 active set [1, 7, 11]",10,0.8678286373444983,0.9309802955034367,3,0.8994044664239675
head_only,lab2_active_3_5_9,"Lab2 active set [3, 5, 9]",10,0.8771423921802517,0.9216532234756847,3,0.8993978078279682
head_only,lab2_active_5_8_10,"Lab2 active set [5, 8, 10]",10,0.8649878009997137,0.9337427723243048,3,0.8993652866620092
head_only,lab2_active_2_9_11,"Lab2 active set [2, 9, 11]",10,0.8669323652349836,0.9317148985912956,3,0.8993236319131397
head_only,lab2_active_2_3_12,"Lab2 active set [2, 3, 12]",10,0.8699905919960093,0.9284487772354238,3,0.8992196846157166
head_only,lab2_active_5_7_11,"Lab2 active set [5, 7, 11]",10,0.8661936691721629,0.9319151555525184,3,0.8990544123623406
head_only,lab2_active_2_3_8,"Lab2 active set [2, 3, 8]",10,0.8681845608407482,0.9296080068275356,3,0.8988962838341419
head_only,lab2_active_1_7_12,"Lab2 active set [1, 7, 12]",10,0.8709624884032461,0.9266942027065432,3,0.8988283455548947
