transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2
partial_finetune,lab2_active_4_11_12,"Lab2 active set [4, 11, 12]",10,temperature,0.4905573202844419,0.3892691055169472,0.8590452075704029
partial_finetune,lab2_active_4_11_13,"Lab2 active set [4, 11, 13]",10,humidity,1.958966239726458,1.589030527151548,0.7050993575419539
partial_finetune,lab2_active_4_11_13,"Lab2 active set [4, 11, 13]",10,temperature,0.5694437641911119,0.4791944989791283,0.8159057701015873
partial_finetune,lab2_active_4_12,"Lab2 active set [4, 12]",11,humidity,1.522326358473158,1.1193779110908508,0.8175011765894821
partial_finetune,lab2_active_4_12,"Lab2 active set [4, 12]",11,temperature,0.4620079694814691,0.3572622136427806,0.8717122139866318
partial_finetune,lab2_active_4_12_13,"Lab2 active set [4, 12, 13]",10,humidity,1.5966955658618038,1.1525080020611103,0.8005909903712257
partial_finetune,lab2_active_4_12_13,"Lab2 active set [4, 12, 13]",10,temperature,0.47175570201922157,0.3635747696344669,0.8686649306664264
partial_finetune,lab2_active_4_13,"Lab2 active set [4, 13]",11,humidity,1.9343629835361615,1.588132381439209,0.7138810555815345
partial_finetune,lab2_active_4_13,"Lab2 active set [4, 13]",11,temperature,0.599399098980056,0.5142334607931284,0.7963279058746343
partial_finetune,lab2_active_4_5,"Lab2 active set [4, 5]",11,humidity,1.6416520584125012,1.2126174477430491,0.7902255473258949
partial_finetune,lab2_active_4_5,"Lab2 active set [4, 5]",11,temperature,0.4907794611393476,0.39569985408049363,0.8616810016633859
partial_finetune,lab2_active_4_5_10,"Lab2 active set [4, 5, 10]",10,humidity,1.5757340950347858,1.0920050740242004,0.8055376003159141
partial_finetune,lab2_active_4_5_10,"Lab2 active set [4, 5, 10]",10,temperature,0.4494462374906872,0.3377004838906802,0.8855025833311794
partial_finetune,lab2_active_4_5_11,"Lab2 active set [4, 5, 11]",10,humidity,1.8831048003298996,1.5262355758593633,0.7219446825824102
partial_finetune,lab2_active_4_5_11,"Lab2 active set [4, 5, 11]",10,temperature,0.5404239810910572,0.4611372214097243,0.8314960397211427
partial_finetune,lab2_active_4_5_12,"Lab2 active set [4, 5, 12]",10,humidity,1.54350324305851,1.068595982514895,0.8137281343254295
partial_finetune,lab2_active_4_5_12,"Lab2 active set [4, 5, 12]",10,temperature,0.436982873958349,0.32017597212241244,0.8899022699342515
partial_finetune,lab2_active_4_5_13,"Lab2 active set [4, 5, 13]",10,humidity,1.7689612003576893,1.3926778389857366,0.7573689492324214
partial_finetune,lab2_active_4_5_13,"Lab2 active set [4, 5, 13]",10,temperature,0.49161857807453946,0.38924568547652316,0.8596005889700833
partial_finetune,lab2_active_4_5_6,"Lab2 active set [4, 5, 6]",10,humidity,1.7093856446346278,1.354407718548408,0.771160265973111
partial_finetune,lab2_active_4_5_6,"Lab2 active set [4, 5, 6]",10,temperature,0.4590967663433585,0.36915526481775135,0.8773239161737109
partial_finetune,lab2_active_4_5_7,"Lab2 active set [4, 5, 7]",10,humidity,1.373165181006742,0.9266952918126032,0.84998044946102
partial_finetune,lab2_active_4_5_7,"Lab2 active set [4, 5, 7]",10,temperature,0.419576579861464,0.29533364337224227,0.899174602928296
partial_finetune,lab2_active_4_5_8,"Lab2 active set [4, 5, 8]",10,humidity,1.4963041292449573,1.0247950783142676,0.8245006762180626
partial_finetune,lab2_active_4_5_8,"Lab2 active set [4, 5, 8]",10,temperature,0.4267369299203176,0.29707309947564053,0.8955246335352509
partial_finetune,lab2_active_4_5_9,"Lab2 active set [4, 5, 9]",10,humidity,1.3653645299914396,0.9432969826918381,0.8527084628652701
partial_finetune,lab2_active_4_5_9,"Lab2 active set [4, 5, 9]",10,temperature,0.3910426596983175,0.2703830851958348,0.9103164811971008
partial_finetune,lab2_active_4_6,"Lab2 active set [4, 6]",11,humidity,1.7603313312698394,1.4803392061820397,0.7587804123550504
partial_finetune,lab2_active_4_6,"Lab2 active set [4, 6]",11,temperature,0.5480515835811528,0.46816396713256836,0.8289285526917929
partial_finetune,lab2_active_4_6_10,"Lab2 active set [4, 6, 10]",10,humidity,1.5792033205323277,1.1426509389510522,0.8048569048156485
partial_finetune,lab2_active_4_6_10,"Lab2 active set [4, 6, 10]",10,temperature,0.4470726514611059,0.3434364004777028,0.885797990320542
partial_finetune,lab2_active_4_6_11,"Lab2 active set [4, 6, 11]",10,humidity,1.7790031083810491,1.4691690665024977,0.7488567988173104
partial_finetune,lab2_active_4_6_11,"Lab2 active set [4, 6, 11]",10,temperature,0.545128845858292,0.4691441265436319,0.8320009517220197
partial_finetune,lab2_active_4_6_12,"Lab2 active set [4, 6, 12]",10,humidity,1.5891706715871396,1.1689819739415095,0.8070113252636804
partial_finetune,lab2_active_4_6_12,"Lab2 active set [4, 6, 12]",10,temperature,0.44301261066643016,0.3323947901909168,0.8871496439799582
partial_finetune,lab2_active_4_6_13,"Lab2 active set [4, 6, 13]",10,humidity,1.8187723196227654,1.5219253164071302,0.7490110849498256
partial_finetune,lab2_active_4_6_13,"Lab2 active set [4, 6, 13]",10,temperature,0.533641061713051,0.45071420073509216,0.8364014495616765
partial_finetune,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,humidity,1.4799815173096937,1.0717165974470286,0.8282684321961823
partial_finetune,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,temperature,0.39607327045099355,0.28244840984161085,0.9109644823505973
partial_finetune,lab2_active_4_6_8,"Lab2 active set [4, 6, 8]",10,humidity,1.5432822024926105,1.106311857700348,0.8142557590296151
partial_finetune,lab2_active_4_6_8,"Lab2 active set [4, 6, 8]",10,temperature,0.4269690285895425,0.3160991886487374,0.8953983457224288
partial_finetune,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,humidity,1.5890973530317276,1.1090757113236647,0.805771899985852
partial_finetune,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,temperature,0.4198096239938473,0.2917805394301048,0.8998790790657183
partial_finetune,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,humidity,1.3844699683704238,1.003058447287633,0.8469968000314853
partial_finetune,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,temperature,0.3881587665099517,0.2740145749770678,0.9109853765854296
partial_finetune,lab2_active_4_7,"Lab2 active set [4, 7]",11,humidity,1.3344559260742015,0.9342807302108178,0.8555335680209463
partial_finetune,lab2_active_4_7,"Lab2 active set [4, 7]",11,temperature,0.415463226124525,0.2920746230162107,0.8955625293657139
partial_finetune,lab2_active_4_7_10,"Lab2 active set [4, 7, 10]",10,humidity,1.343594484093374,0.8970124538128192,0.8549141992220685
partial_finetune,lab2_active_4_7_10,"Lab2 active set [4, 7, 10]",10,temperature,0.4126105124983384,0.2834669741300436,0.9016895374014394
partial_finetune,lab2_active_4_7_10_11_13,"Lab2 active set [4, 7, 10, 11, 13]",8,humidity,1.4965615838086068,1.0492792954811683,0.8214686982770434
partial_finetune,lab2_active_4_7_10_11_13,"Lab2 active set [4, 7, 10, 11, 13]",8,temperature,0.4253532061554844,0.2954621177453261,0.8934404108579965
partial_finetune,lab2_active_4_7_11,"Lab2 active set [4, 7, 11]",10,humidity,1.5316179174269904,1.154663255581489,0.8175562831863759
partial_finetune,lab2_active_4_7_11,"Lab2 active set [4, 7, 11]",10,temperature,0.4276808783589225,0.3143228395627095,0.8939311551205666
partial_finetune,lab2_active_4_7_12,"Lab2 active set [4, 7, 12]",10,humidity,1.380219917166984,0.94366854429245,0.8472904830662039
partial_finetune,lab2_active_4_7_12,"Lab2 active set [4, 7, 12]",10,temperature,0.41669602264186845,0.29200140558756316,0.897268055069594
partial_finetune,lab2_active_4_7_13,"Lab2 active set [4, 7, 13]",10,humidity,1.3901875030877509,0.985224567926847,0.8407126981510054
partial_finetune,lab2_active_4_7_13,"Lab2 active set [4, 7, 13]",10,temperature,0.42300205690615533,0.2976036025927617,0.8912821178408912
partial_finetune,lab2_active_4_7_8,"Lab2 active set [4, 7, 8]",10,humidity,1.3489773513192203,0.91161853992022,0.8545762276406117
partial_finetune,lab2_active_4_7_8,"Lab2 active set [4, 7, 8]",10,temperature,0.407318966505519,0.2724646215255444,0.9039307470409305
partial_finetune,lab2_active_4_7_9,"Lab2 active set [4, 7, 9]",10,humidity,1.3915522689744388,1.0351415735024672,0.8478028363813407
partial_finetune,lab2_active_4_7_9,"Lab2 active set [4, 7, 9]",10,temperature,0.4012361363276385,0.27953607073196995,0.9072272984031854
partial_finetune,lab2_active_4_8,"Lab2 active set [4, 8]",11,humidity,1.459507977195759,1.0317092354481037,0.8312675448114059
partial_finetune,lab2_active_4_8,"Lab2 active set [4, 8]",11,temperature,0.4399458958567737,0.324515259036651,0.8860761817936932
partial_finetune,lab2_active_4_8_10,"Lab2 active set [4, 8, 10]",10,humidity,1.4549436853745847,0.972764987211961,0.8342080976834326
partial_finetune,lab2_active_4_8_10,"Lab2 active set [4, 8, 10]",10,temperature,0.4229404710093258,0.2973797596417941,0.8970461706139381
partial_finetune,lab2_active_4_8_11,"Lab2 active set [4, 8, 11]",10,humidity,1.5938582368406113,1.1770240022585943,0.8015036195454903
partial_finetune,lab2_active_4_8_11,"Lab2 active set [4, 8, 11]",10,temperature,0.4577711996276508,0.34896191266866833,0.8787383975355095
partial_finetune,lab2_active_4_8_12,"Lab2 active set [4, 8, 12]",10,humidity,1.4612230761535305,1.013732066521278,0.832629430902563
partial_finetune,lab2_active_4_8_12,"Lab2 active set [4, 8, 12]",10,temperature,0.42644569263553755,0.31199041123573595,0.8941371701045805
partial_finetune,lab2_active_4_8_13,"Lab2 active set [4, 8, 13]",10,humidity,1.543204980041454,1.0744949533389165,0.811527284755883
partial_finetune,lab2_active_4_8_13,"Lab2 active set [4, 8, 13]",10,temperature,0.47169972208470745,0.36120061347117793,0.8711044550275994
partial_finetune,lab2_active_4_8_9,"Lab2 active set [4, 8, 9]",10,humidity,1.3691042044589268,0.9808479501650884,0.8533336343492729
partial_finetune,lab2_active_4_8_9,"Lab2 active set [4, 8, 9]",10,temperature,0.39220507243626407,0.26949476507993847,0.909939219963551
partial_finetune,lab2_active_4_9,"Lab2 active set [4, 9]",11,humidity,1.3618034907643066,1.0154437972949102,0.850045322098667
partial_finetune,lab2_active_4_9,"Lab2 active set [4, 9]",11,temperature,0.39517997230666074,0.27664023408522975,0.9033882577541827
partial_finetune,lab2_active_4_9_10,"Lab2 active set [4, 9, 10]",10,humidity,1.3217393817847554,0.9206481575965881,0.8618312759395719
partial_finetune,lab2_active_4_9_10,"Lab2 active set [4, 9, 10]",10,temperature,0.39339603542846757,0.27526613152944124,0.9098197962100373
partial_finetune,lab2_active_4_9_11,"Lab2 active set [4, 9, 11]",10,humidity,1.3622846209362687,0.9342085948357215,0.8512172475622614
partial_finetune,lab2_active_4_9_11,"Lab2 active set [4, 9, 11]",10,temperature,0.40653606105496737,0.2896894480173404,0.9002858309984314
partial_finetune,lab2_active_4_9_12,"Lab2 active set [4, 9, 12]",10,humidity,1.3830860165254526,1.0012212991714478,0.8505772884996623
partial_finetune,lab2_active_4_9_12,"Lab2 active set [4, 9, 12]",10,temperature,0.39266404271825495,0.27706156097925627,0.9088605159648953
partial_finetune,lab2_active_4_9_13,"Lab2 active set [4, 9, 13]",10,humidity,1.3696262028323691,0.9767523086988009,0.8491093594926421
partial_finetune,lab2_active_4_9_13,"Lab2 active set [4, 9, 13]",10,temperature,0.4167886966532706,0.30466518837672013,0.8930084727872918
partial_finetune,lab2_active_5_10,"Lab2 active set [5, 10]",11,humidity,1.6954506607977085,1.1605999974104075,0.7790062393539035
partial_finetune,lab2_active_5_10,"Lab2 active set [5, 10]",11,temperature,0.4143282297206311,0.2915775007926501,0.902411589328426
partial_finetune,lab2_active_5_10_11,"Lab2 active set [5, 10, 11]",10,humidity,1.8392445507250874,1.3579580967242901,0.7373387437225539
partial_finetune,lab2_active_5_10_11,"Lab2 active set [5, 10, 11]",10,temperature,0.44964646835628674,0.33934453359017,0.8843293675872298
partial_finetune,lab2_active_5_10_12,"Lab2 active set [5, 10, 12]",10,humidity,1.6546696015066777,1.1037421639149005,0.7896550464212169
partial_finetune,lab2_active_5_10_12,"Lab2 active set [5, 10, 12]",10,temperature,0.40933097342078273,0.2829654629413898,0.9053928693281461
partial_finetune,lab2_active_5_10_13,"Lab2 active set [5, 10, 13]",10,humidity,1.743367664259382,1.2112710200823271,0.7635039831334811
partial_finetune,lab2_active_5_10_13,"Lab2 active set [5, 10, 13]",10,temperature,0.4375767713566328,0.31103054262124574,0.8893825215821354
partial_finetune,lab2_active_5_11,"Lab2 active set [5, 11]",11,humidity,1.9508159887841787,1.5416095302655146,0.7067745507354467
partial_finetune,lab2_active_5_11,"Lab2 active set [5, 11]",11,temperature,0.49212349980095554,0.40147305108033693,0.8608991348864041
partial_finetune,lab2_active_5_11_12,"Lab2 active set [5, 11, 12]",10,humidity,1.7800726023853992,1.279063811668983,0.7537283173080171
partial_finetune,lab2_active_5_11_12,"Lab2 active set [5, 11, 12]",10,temperature,0.44505875358941993,0.3319439452428084,0.8854523028128998
partial_finetune,lab2_active_5_11_13,"Lab2 active set [5, 11, 13]",10,humidity,1.945219773079023,1.5018795407735384,0.7100817510252291
partial_finetune,lab2_active_5_11_13,"Lab2 active set [5, 11, 13]",10,temperature,0.48685418680376275,0.38354844198777127,0.86405286150592
partial_finetune,lab2_active_5_12,"Lab2 active set [5, 12]",11,humidity,1.6352616104440456,1.1191097910587604,0.7930633676130209
partial_finetune,lab2_active_5_12,"Lab2 active set [5, 12]",11,temperature,0.4111667993476379,0.28746144817425656,0.9038162643687707
partial_finetune,lab2_active_5_12_13,"Lab2 active set [5, 12, 13]",10,humidity,1.7323188455836167,1.2086593371171217,0.7673853925208327
partial_finetune,lab2_active_5_12_13,"Lab2 active set [5, 12, 13]",10,temperature,0.44488395345023624,0.32398607639166027,0.8853959943131376
partial_finetune,lab2_active_5_13,"Lab2 active set [5, 13]",11,humidity,1.9668332566134885,1.517797859815451,0.6992787615229037
partial_finetune,lab2_active_5_13,"Lab2 active set [5, 13]",11,temperature,0.490421039636485,0.38043152598234325,0.8577642217174927
partial_finetune,lab2_active_5_6,"Lab2 active set [5, 6]",11,humidity,1.821289666085097,1.4176468069736774,0.7451413969049477
partial_finetune,lab2_active_5_6,"Lab2 active set [5, 6]",11,temperature,0.456999095617481,0.3634449564493619,0.8786098690858507
partial_finetune,lab2_active_5_6_10,"Lab2 active set [5, 6, 10]",10,humidity,1.6926151679673258,1.188951088831975,0.780751135540875
partial_finetune,lab2_active_5_6_10,"Lab2 active set [5, 6, 10]",10,temperature,0.4268610625535794,0.3063618540763855,0.8958836566991764
