transfer_mode,protocol_name,display_name,masked_total,sensor,variable,rmse,mae,r2
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,1,temperature,0.23208485539626095,0.18108762800693512,0.9635933880490327
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,2,humidity,1.3248863675316982,0.8342546224594116,0.8536175651465295
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,2,temperature,0.32619551612928593,0.2283659726381302,0.9463955267905909
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,3,humidity,0.9075519154939355,0.7212374806404114,0.9374279514064338
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,3,temperature,0.2871394368736794,0.23608027398586273,0.9533590065916088
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,4,humidity,1.62236087408308,0.7679768800735474,0.7365038821533334
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,4,temperature,0.6220200067657258,0.3464149832725525,0.8538544571270821
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,5,humidity,0.8330299580214094,0.597831666469574,0.9486640349008539
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,5,temperature,0.3270003481798914,0.2615360617637634,0.9300561332155748
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,6,humidity,1.7926940042594315,1.095874547958374,0.7745899683911633
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,6,temperature,0.43528318762418156,0.33209845423698425,0.9024589492539798
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,7,humidity,2.285524726568679,1.583743929862976,0.665844200986238
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,7,temperature,0.5115546043313318,0.4112551510334015,0.8499547164475292
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,8,humidity,1.5447716332455115,0.9883036017417908,0.8338078934522584
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,8,temperature,0.3405087749559061,0.23826725780963898,0.9300690380080707
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,9,humidity,2.355652556831304,1.6808665990829468,0.6473673075339488
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,9,temperature,0.5877631926960446,0.4794745147228241,0.80428864406965
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,10,humidity,2.1479927851166845,1.7697341442108154,0.7049519841442994
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,10,temperature,0.5492530074091493,0.44811201095581055,0.8394677038635471
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,11,humidity,0.9172142661769006,0.5878857970237732,0.9358936513496672
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,11,temperature,0.2860602329106807,0.19678059220314026,0.9579614763227764
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,12,humidity,1.1164877774346433,0.6610817909240723,0.9178669862431824
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,12,temperature,0.297558749993549,0.22833307087421417,0.946575735599394
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,13,humidity,0.7870519347328779,0.6105999946594238,0.9502927865249966
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,13,temperature,0.2416371352483021,0.1978941112756729,0.9641753291090632
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,1,humidity,0.848069788879338,0.6731575131416321,0.9500233807049373
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,1,temperature,0.2538607189729641,0.18576569855213165,0.9564410198674458
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,2,humidity,1.1948483631857603,0.7966426014900208,0.880942351284659
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,2,temperature,0.254378202943062,0.19421043992042542,0.9674009551476054
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,3,humidity,1.1980816547829305,1.0073784589767456,0.8909538690847728
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,3,temperature,0.33387563842703827,0.2951914370059967,0.9369403475493685
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,4,humidity,1.857904830704424,1.263994812965393,0.6544378001075405
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,4,temperature,0.5456352350033161,0.30305156111717224,0.8875442445659703
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,5,humidity,1.6383651428135682,1.4014315605163574,0.8014262167792389
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,5,temperature,0.36136361025209807,0.3269267976284027,0.9145834405009328
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,6,humidity,1.4842338896486358,1.0126512050628662,0.8454868019898185
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,6,temperature,0.37834221850827493,0.2744181752204895,0.9263092027390215
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,7,humidity,1.680861732433385,1.201644778251648,0.8192654693360393
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,7,temperature,0.4262255179458506,0.3043387532234192,0.895836098553222
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,8,humidity,1.4791102958289395,0.9833733439445496,0.8476357928715019
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,8,temperature,0.32656927512409695,0.23761586844921112,0.9356774076778187
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,9,humidity,2.2045803809147686,1.571901559829712,0.691146880554006
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,9,temperature,0.528878585114451,0.42199790477752686,0.8415387047277243
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,10,humidity,1.9835277761250705,1.478722333908081,0.748404041746513
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,10,temperature,0.4589781415800127,0.36060646176338196,0.8879010563116126
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,11,humidity,0.7857665541528697,0.6121621131896973,0.9529514175707088
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,11,temperature,0.3017247129391373,0.2537177801132202,0.9532314149492431
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,12,humidity,1.558024290451285,1.2499579191207886,0.8400595775647772
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,12,temperature,0.5055908904576841,0.45561766624450684,0.8457619228496865
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,13,humidity,0.8246614252719002,0.5893722772598267,0.945428736790427
head_only,lab2_active_11_12,"Lab2 active set [11, 12]",11,13,temperature,0.24516327109412275,0.19441434741020203,0.9631221438985804
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,1,humidity,0.890094900482916,0.7131174206733704,0.9449475927842432
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,1,temperature,0.26127109389954595,0.1899166703224182,0.9538608723894574
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,2,humidity,1.2018152514289373,0.7779541015625,0.8795499075416484
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,2,temperature,0.2568364306543061,0.18958765268325806,0.966767857897258
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,3,humidity,1.104559966283502,0.7989620566368103,0.9073135960610265
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,3,temperature,0.31200269229350863,0.25725263357162476,0.9449320672402226
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,4,humidity,1.648231168010141,0.9124796986579895,0.7280334232010885
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,4,temperature,0.5212073858483602,0.274527370929718,0.8973880447207314
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,5,humidity,1.3790709313455385,0.9105916023254395,0.8593065984981627
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,5,temperature,0.34487744236337414,0.24981845915317535,0.9221994259143668
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,6,humidity,1.9732259097801832,1.276850700378418,0.7269045249797916
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,6,temperature,0.49151391152381757,0.3488253355026245,0.875630103858035
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,7,humidity,2.438507360982667,1.8386809825897217,0.6196133270008215
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,7,temperature,0.5569389480796313,0.443306028842926,0.8221501422609824
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,8,humidity,1.4579829567121105,0.9858198165893555,0.8519573974557043
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,8,temperature,0.3437227650170409,0.25901228189468384,0.9287426792291
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,9,humidity,2.220654596957676,1.656406283378601,0.6866266001404799
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,9,temperature,0.565028283668767,0.4782305061817169,0.8191362039009717
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,10,humidity,2.008231627657703,1.5400437116622925,0.7420980200790304
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,10,temperature,0.45758735211060203,0.3629508912563324,0.8885793858334503
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,11,humidity,0.8277296886158407,0.5547816753387451,0.947792063896898
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,11,temperature,0.2563377015133733,0.19779463112354279,0.9662434951752862
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,12,humidity,1.4026232257638358,1.0666980743408203,0.8703740787203961
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,12,temperature,0.4313378286073403,0.3736291825771332,0.8877391844957785
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,13,humidity,0.8246614252719002,0.5893722772598267,0.945428736790427
head_only,lab2_active_11_12_13,"Lab2 active set [11, 12, 13]",10,13,temperature,0.24516327109412275,0.19441434741020203,0.9631221438985804
head_only,lab2_active_11_13,"Lab2 active set [11, 13]",11,1,humidity,0.9225623590952389,0.5993249416351318,0.9408581171826432
